name,price,link,genre,record_label,record_country,record_cat,record_grade,sleeve_grade,record_info
Lydia Taylor Band - Bitch (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00135088-lydia-taylor-band-bitch,  Rock   ,  Passport   ,  Canada   ,  PL 3007   ,  VG+  ,  VG+ ,
Mahogany Rush - Maxoom (Vinyle Usagé),$59.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00003408-mahogany-rush-maxoom,  Rock   ,  Kot ai   ,  Canada   ,  KOT 3001   ,  NM  ,  NM ,  Original avec Label Violet/Argent   
Malcolm Tomlinson - Rock and Roll Hermit (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00076083-malcolm-tomlinson-rock-and-roll-hermit,  Rock   ,  A&M   ,  Canada   ,  SP 4765   ,  VG+  ,  VG+ ,
Marital Aids - My Disco Town (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382663-marital-aids-my-disco-town,  Disco   ,  Polydor   ,  Canada   ,  2141 199   ,  VG+  ,  Generic ,  12   
Mather / Various - Anthologie de la Musique Canadienne / Anthology of Canadian Music (Vinyle Usagé),$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00244068-mather-various-anthologie-de-la-musique-canadienne-anthology-of-canadian-music,  Classique   ,  RadioCanada International   ,  Canada   ,  ACM 9   ,  VG+  ,  VG+ ,  Coffret 4 LP avec Livret   
MBT Soul - MBT Soul (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00102723-mbt-soul-mbt-soul,  Disco   ,  Polydor   ,  Canada   ,  2393 181   ,  NM  ,  NM ,
Nat King Cole - 16 Grandes Exitos De Nat King Cole En Espanol (Vinyle Usagé),$14.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382597-nat-king-cole-16-grandes-exitos-de-nat-king-cole-en-espanol,  Vocal Homme   ,  Capitol Records   ,  USA   ,  ST 12219   ,  NM  ,  VG+ ,  Pressage 1982   
Nat King Cole - 20 Songs For Lovers Volume One (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00359800-nat-king-cole-20-songs-for-lovers-volume-one,  Vocal Homme   ,  Nostalgia   ,  Germany   ,  F 22012   ,  NM  ,  VG+ ,
Nat King Cole - 20 Songs For Lovers Volume Two (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382800-nat-king-cole-20-songs-for-lovers-volume-two,  Vocal Homme   ,  Nostalgia   ,  Switzerland   ,  F 22013 Nostalgia   ,  NM  ,  VG+ ,
Nat King Cole - A Blossom Fell (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382575-nat-king-cole-a-blossom-fell,  Vocal Homme   ,  Capitol   ,  USA   ,  DN 16165   ,  NM  ,  VG+ ,
Nat King Cole - A Many Splendored Thing (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382569-nat-king-cole-a-many-splendored-thing,  Vocal Homme   ,  Longines Symphonette Society   ,  USA   ,  SYS 5161   ,  VG+  ,  VG+ ,
Nat King Cole - At the Sands (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382570-nat-king-cole-at-the-sands,  Vocal Homme   ,  MFP   ,  UK   ,  MFP 50243   ,  VG+  ,  VG+ ,
Nat King Cole - Dear Lonely Hearts (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382571-nat-king-cole-dear-lonely-hearts,  Vocal Homme   ,  Capitol   ,  Canada   ,  T 1838   ,  NM  ,  VG+ ,  Original Mono   
